age,favourite_colour,preferred_biscuit,dominant_hand,likes_pineapple_on_pizza,zodiac_sign,preferred_pet_type,political_leaning,drives,personality
21,White,Nice,Right,Yes,Capricorn,Cat,Left,No,Introvert
33,Black,Bourbon,Right,Yes,Leo,Dog,Right,No,Introvert
25,Green,Jammie Dodger,Left,No,Leo,Fish,Center,Yes,Introvert
51,Black,Hobnob,Left,No,Sagittarius,Bird,Left,No,Introvert
24,Pink,Hobnob,Left,Yes,Leo,Rabbit,Center,No,Extrovert
54,Pink,Bourbon,Right,Yes,Libra,Fish,Center,Yes,Extrovert
44,Pink,Rich Tea,Left,No,Cancer,Bird,Right,Yes,Introvert
80,Purple,Nice,Left,Yes,Pisces,Bird,Center-Right,Yes,Ambivert
33,White,Garibaldi,Right,No,Cancer,Dog,Center,No,Ambivert
69,Orange,Digestive,Left,No,Sagittarius,Rabbit,Left,No,Introvert
77,Blue,Garibaldi,Left,Yes,Scorpio,Rabbit,Center-Right,No,Extrovert
52,Purple,Custard Cream,Left,No,Capricorn,Bird,Center,Yes,Ambivert
31,Pink,Nice,Left,No,Virgo,Fish,Center-Right,No,Introvert
65,Pink,Garibaldi,Left,No,Pisces,Cat,Center-Left,No,Ambivert
26,Purple,Digestive,Right,No,Gemini,Cat,Left,No,Introvert
63,Yellow,Shortbread,Left,No,Sagittarius,Bird,Center-Left,No,Ambivert
54,Black,Ginger Nut,Left,No,Sagittarius,Fish,Center-Right,No,Introvert
59,Red,Bourbon,Right,No,Virgo,Rabbit,Center-Right,Yes,Ambivert
58,Blue,Jammie Dodger,Left,Yes,Taurus,Dog,Center,Yes,Extrovert
18,Green,Rich Tea,Right,Yes,Taurus,Dog,Center-Right,Yes,Introvert
56,Brown,Ginger Nut,Left,No,Taurus,Bird,Center,Yes,Introvert
32,Red,Hobnob,Right,Yes,Virgo,Cat,Left,No,Extrovert
51,Green,Nice,Right,Yes,Cancer,Cat,Left,Yes,Introvert
36,Black,Hobnob,Right,No,Capricorn,Cat,Right,Yes,Introvert
29,Red,Garibaldi,Left,No,Scorpio,Dog,Right,No,Ambivert
70,Blue,Jammie Dodger,Right,Yes,Scorpio,Fish,Left,Yes,Ambivert
34,Yellow,Digestive,Left,Yes,Sagittarius,Rabbit,Left,Yes,Extrovert
32,Green,Jammie Dodger,Left,Yes,Sagittarius,Fish,Center,No,Ambivert
59,Pink,Ginger Nut,Left,Yes,Gemini,Cat,Left,No,Extrovert
31,Black,Garibaldi,Left,Yes,Sagittarius,Fish,Center-Right,No,Introvert
19,Blue,Hobnob,Right,No,Pisces,Fish,Right,Yes,Introvert
29,Black,Rich Tea,Right,Yes,Scorpio,Fish,Left,Yes,Introvert
73,Blue,Bourbon,Right,Yes,Gemini,Cat,Left,Yes,Ambivert
23,Pink,Digestive,Right,No,Aquarius,Fish,Left,Yes,Introvert
36,White,Jammie Dodger,Left,No,Cancer,Fish,Center-Left,No,Introvert
50,Yellow,Hobnob,Left,No,Scorpio,Fish,Center,Yes,Introvert
36,Red,Bourbon,Left,Yes,Virgo,Fish,Center,Yes,Ambivert
22,Yellow,Hobnob,Right,Yes,Gemini,Dog,Right,Yes,Extrovert
35,Red,Custard Cream,Left,Yes,Gemini,Dog,Right,No,Extrovert
78,Red,Rich Tea,Left,Yes,Sagittarius,Bird,Right,No,Introvert
36,Blue,Custard Cream,Right,Yes,Sagittarius,Bird,Center-Right,Yes,Ambivert
70,Brown,Jammie Dodger,Left,No,Aquarius,Rabbit,Center,No,Introvert
65,Green,Rich Tea,Left,Yes,Cancer,Cat,Center,Yes,Introvert
64,Yellow,Nice,Left,No,Capricorn,Fish,Center-Left,No,Introvert
29,Red,Garibaldi,Left,No,Gemini,Dog,Center,Yes,Ambivert
49,Black,Jammie Dodger,Right,No,Pisces,Rabbit,Left,No,Introvert
23,Pink,Custard Cream,Left,Yes,Aries,Fish,Left,No,Extrovert
67,Brown,Jammie Dodger,Right,No,Cancer,Bird,Center,No,Introvert
69,Blue,Hobnob,Right,No,Libra,Cat,Center-Left,No,Introvert
77,Purple,Jammie Dodger,Left,No,Cancer,Dog,Left,Yes,Extrovert
63,Yellow,Nice,Left,No,Leo,Bird,Center-Right,Yes,Introvert
56,Green,Garibaldi,Left,No,Cancer,Rabbit,Center-Right,Yes,Ambivert
69,Blue,Nice,Left,No,Capricorn,Rabbit,Left,No,Introvert
21,Brown,Nice,Right,Yes,Leo,Bird,Right,No,Introvert
57,Orange,Garibaldi,Right,No,Virgo,Dog,Left,Yes,Extrovert
58,Orange,Jammie Dodger,Right,No,Libra,Bird,Center-Right,No,Extrovert
58,White,Custard Cream,Left,No,Leo,Bird,Right,Yes,Ambivert
73,Blue,Digestive,Left,No,Cancer,Fish,Left,No,Introvert
46,Green,Bourbon,Right,No,Taurus,Cat,Center-Right,Yes,Introvert
34,Green,Ginger Nut,Right,Yes,Aries,Fish,Center-Left,Yes,Ambivert
51,Black,Ginger Nut,Left,Yes,Scorpio,Fish,Left,Yes,Introvert
73,Purple,Ginger Nut,Left,No,Libra,Dog,Left,No,Ambivert
39,White,Rich Tea,Left,Yes,Leo,Cat,Center-Left,Yes,Introvert
41,Red,Rich Tea,Left,No,Virgo,Rabbit,Right,Yes,Introvert
43,Orange,Bourbon,Right,Yes,Leo,Cat,Center-Right,No,Ambivert
73,Green,Ginger Nut,Right,No,Virgo,Dog,Left,Yes,Ambivert
65,Brown,Custard Cream,Right,No,Pisces,Bird,Center-Right,Yes,Introvert
36,Pink,Nice,Left,Yes,Cancer,Rabbit,Right,Yes,Extrovert
52,Green,Jammie Dodger,Left,Yes,Taurus,Cat,Center,Yes,Extrovert
72,Blue,Digestive,Left,No,Pisces,Fish,Center,Yes,Introvert
32,Pink,Jammie Dodger,Right,No,Scorpio,Cat,Center-Right,No,Extrovert
61,Black,Hobnob,Right,Yes,Gemini,Fish,Right,Yes,Introvert
19,Purple,Nice,Right,Yes,Virgo,Fish,Center-Left,No,Introvert
65,Black,Digestive,Right,Yes,Aquarius,Rabbit,Center-Right,No,Introvert
47,Brown,Custard Cream,Left,No,Libra,Cat,Left,Yes,Introvert
77,Brown,Hobnob,Left,Yes,Leo,Cat,Right,No,Introvert
29,Yellow,Custard Cream,Left,Yes,Libra,Cat,Center-Right,No,Extrovert
26,Orange,Ginger Nut,Left,No,Capricorn,Bird,Left,No,Ambivert
48,Yellow,Jammie Dodger,Right,Yes,Scorpio,Dog,Center-Right,No,Extrovert
50,White,Bourbon,Left,Yes,Capricorn,Fish,Center-Left,Yes,Introvert
57,Black,Jammie Dodger,Right,No,Sagittarius,Cat,Center-Right,Yes,Introvert
20,White,Custard Cream,Right,Yes,Gemini,Bird,Center,No,Ambivert
62,Yellow,Rich Tea,Left,Yes,Virgo,Bird,Center-Left,Yes,Ambivert
79,Red,Ginger Nut,Left,No,Virgo,Cat,Left,No,Introvert
43,Pink,Custard Cream,Right,Yes,Aries,Cat,Center-Left,No,Extrovert
72,Purple,Bourbon,Right,No,Capricorn,Dog,Center-Left,Yes,Ambivert
79,Brown,Hobnob,Right,No,Scorpio,Cat,Center-Right,No,Introvert
52,White,Digestive,Right,Yes,Scorpio,Dog,Left,Yes,Ambivert
46,Yellow,Custard Cream,Left,No,Aries,Bird,Right,No,Ambivert
53,Blue,Hobnob,Left,No,Capricorn,Fish,Right,Yes,Introvert
69,Yellow,Shortbread,Right,No,Leo,Fish,Center,Yes,Introvert
29,Green,Rich Tea,Right,No,Capricorn,Rabbit,Right,No,Introvert
23,Blue,Garibaldi,Left,Yes,Pisces,Fish,Left,No,Introvert
70,Purple,Garibaldi,Left,Yes,Leo,Dog,Left,No,Extrovert
28,Brown,Rich Tea,Left,No,Virgo,Dog,Center-Left,Yes,Introvert
22,Orange,Rich Tea,Left,Yes,Cancer,Fish,Right,Yes,Introvert
30,Brown,Hobnob,Right,Yes,Sagittarius,Dog,Left,No,Ambivert
19,White,Custard Cream,Left,No,Libra,Fish,Center,Yes,Introvert
50,Orange,Jammie Dodger,Left,No,Sagittarius,Rabbit,Left,Yes,Extrovert
63,Yellow,Shortbread,Right,Yes,Pisces,Bird,Center-Left,Yes,Extrovert
47,Pink,Custard Cream,Right,No,Capricorn,Bird,Center,No,Ambivert
80,Red,Hobnob,Left,No,Sagittarius,Rabbit,Center,Yes,Introvert
50,Pink,Custard Cream,Left,No,Sagittarius,Rabbit,Left,Yes,Extrovert
30,Brown,Digestive,Left,Yes,Taurus,Cat,Right,Yes,Introvert
66,Purple,Garibaldi,Right,No,Libra,Fish,Right,Yes,Introvert
57,Pink,Bourbon,Right,Yes,Capricorn,Bird,Center-Left,No,Extrovert
69,Black,Bourbon,Left,No,Libra,Rabbit,Right,No,Introvert
79,Orange,Nice,Right,Yes,Taurus,Bird,Center,No,Ambivert
42,Orange,Jammie Dodger,Left,No,Leo,Cat,Center-Left,No,Extrovert
53,Purple,Shortbread,Left,Yes,Capricorn,Fish,Left,Yes,Ambivert
58,Brown,Hobnob,Right,No,Aries,Rabbit,Right,Yes,Introvert
44,Pink,Nice,Left,No,Scorpio,Cat,Center-Left,No,Introvert
61,Orange,Hobnob,Right,Yes,Aries,Cat,Right,No,Extrovert
63,Black,Ginger Nut,Right,Yes,Cancer,Rabbit,Left,Yes,Ambivert
52,Red,Jammie Dodger,Left,Yes,Cancer,Rabbit,Center-Left,No,Extrovert
80,Blue,Custard Cream,Right,No,Taurus,Dog,Left,No,Introvert
22,Black,Digestive,Left,No,Taurus,Cat,Right,No,Introvert
33,Green,Garibaldi,Left,Yes,Gemini,Cat,Left,No,Ambivert
77,Brown,Rich Tea,Right,No,Cancer,Rabbit,Center,No,Introvert
45,Orange,Jammie Dodger,Left,No,Aries,Dog,Center,Yes,Extrovert
78,White,Digestive,Left,No,Virgo,Cat,Center-Right,Yes,Introvert
46,Brown,Jammie Dodger,Right,Yes,Virgo,Bird,Center-Left,No,Extrovert
54,Black,Garibaldi,Right,Yes,Gemini,Rabbit,Left,No,Introvert
78,Red,Garibaldi,Right,No,Libra,Rabbit,Center-Right,No,Ambivert
65,Orange,Shortbread,Right,No,Scorpio,Dog,Center,Yes,Ambivert
36,Purple,Ginger Nut,Left,Yes,Virgo,Dog,Center,Yes,Extrovert
64,Blue,Custard Cream,Left,Yes,Leo,Dog,Left,No,Ambivert
28,Yellow,Nice,Left,No,Libra,Dog,Center-Right,Yes,Introvert
71,Red,Bourbon,Left,Yes,Sagittarius,Rabbit,Center,Yes,Extrovert
27,Green,Jammie Dodger,Right,Yes,Sagittarius,Bird,Right,No,Extrovert
30,Brown,Rich Tea,Left,No,Taurus,Fish,Center-Left,Yes,Introvert
47,Orange,Shortbread,Right,No,Scorpio,Fish,Center-Left,Yes,Introvert
68,Orange,Jammie Dodger,Left,Yes,Taurus,Fish,Left,Yes,Extrovert
56,Red,Garibaldi,Right,Yes,Cancer,Rabbit,Right,Yes,Extrovert
40,Pink,Jammie Dodger,Right,Yes,Scorpio,Bird,Right,No,Extrovert
51,Yellow,Ginger Nut,Left,Yes,Libra,Cat,Right,Yes,Extrovert
57,White,Nice,Right,Yes,Sagittarius,Cat,Left,No,Introvert
27,Orange,Shortbread,Left,Yes,Aries,Fish,Center-Right,Yes,Ambivert
29,Pink,Bourbon,Left,Yes,Leo,Cat,Left,No,Extrovert
31,Orange,Bourbon,Left,No,Leo,Dog,Center-Right,No,Ambivert
44,Blue,Garibaldi,Left,No,Taurus,Bird,Center-Left,No,Introvert
27,Black,Bourbon,Right,No,Aquarius,Fish,Center-Right,No,Introvert
78,Red,Jammie Dodger,Left,No,Virgo,Fish,Right,Yes,Ambivert
67,Green,Nice,Right,Yes,Scorpio,Fish,Center-Right,Yes,Introvert
61,Brown,Garibaldi,Left,Yes,Aquarius,Bird,Center-Left,Yes,Extrovert
18,Blue,Hobnob,Right,Yes,Sagittarius,Bird,Left,No,Ambivert
40,Yellow,Hobnob,Right,No,Capricorn,Fish,Center-Left,Yes,Introvert
28,Blue,Custard Cream,Left,Yes,Pisces,Bird,Center-Left,Yes,Ambivert
23,Green,Nice,Left,Yes,Cancer,Bird,Center-Right,No,Introvert
69,Green,Jammie Dodger,Right,Yes,Aries,Cat,Center-Right,No,Extrovert
25,Red,Hobnob,Right,Yes,Pisces,Rabbit,Right,Yes,Extrovert
42,Pink,Custard Cream,Left,No,Libra,Fish,Center-Right,No,Introvert
77,Blue,Garibaldi,Left,Yes,Gemini,Cat,Center-Left,No,Ambivert
73,White,Custard Cream,Right,Yes,Taurus,Cat,Center-Right,Yes,Ambivert
28,Yellow,Bourbon,Left,No,Pisces,Rabbit,Right,Yes,Ambivert
74,Purple,Garibaldi,Right,No,Scorpio,Fish,Right,Yes,Introvert
53,Black,Rich Tea,Right,No,Virgo,Fish,Center,Yes,Introvert
34,Black,Hobnob,Right,No,Sagittarius,Rabbit,Center,No,Introvert
74,Black,Bourbon,Right,No,Gemini,Rabbit,Center-Left,Yes,Introvert
57,White,Hobnob,Left,Yes,Aquarius,Rabbit,Center,Yes,Extrovert
38,Green,Nice,Right,Yes,Leo,Fish,Center-Left,No,Introvert
24,Pink,Custard Cream,Right,No,Aquarius,Fish,Right,No,Introvert
79,Blue,Custard Cream,Left,Yes,Capricorn,Cat,Left,No,Ambivert
26,Orange,Nice,Left,Yes,Virgo,Bird,Center-Left,Yes,Ambivert
26,Red,Rich Tea,Right,Yes,Aries,Cat,Right,No,Introvert
49,White,Custard Cream,Left,Yes,Virgo,Bird,Center,Yes,Ambivert
30,White,Rich Tea,Left,Yes,Gemini,Fish,Center-Right,Yes,Introvert
47,Orange,Bourbon,Left,No,Gemini,Rabbit,Center-Right,Yes,Ambivert
61,Green,Digestive,Left,Yes,Cancer,Rabbit,Left,No,Ambivert
47,White,Ginger Nut,Left,No,Gemini,Bird,Center-Left,Yes,Introvert
41,Red,Digestive,Right,Yes,Virgo,Bird,Center-Right,Yes,Ambivert
24,Pink,Digestive,Right,No,Virgo,Dog,Center,No,Ambivert
56,Pink,Hobnob,Left,No,Sagittarius,Bird,Right,Yes,Extrovert
24,Blue,Shortbread,Left,No,Virgo,Cat,Right,No,Introvert
52,Yellow,Nice,Right,Yes,Virgo,Bird,Center-Right,Yes,Ambivert
66,Black,Nice,Left,Yes,Aries,Fish,Left,Yes,Introvert
58,Yellow,Bourbon,Left,Yes,Leo,Rabbit,Center-Left,No,Extrovert
60,Yellow,Hobnob,Left,Yes,Libra,Bird,Center-Right,No,Extrovert
54,Black,Jammie Dodger,Right,Yes,Gemini,Dog,Center,No,Ambivert
55,Black,Ginger Nut,Left,Yes,Scorpio,Rabbit,Right,Yes,Introvert
24,Green,Jammie Dodger,Right,No,Scorpio,Dog,Right,Yes,Extrovert
34,Blue,Jammie Dodger,Left,Yes,Taurus,Rabbit,Center-Right,No,Extrovert
54,Purple,Nice,Right,No,Aries,Bird,Right,Yes,Introvert
43,Black,Ginger Nut,Right,Yes,Pisces,Bird,Right,Yes,Introvert
23,Orange,Ginger Nut,Right,No,Taurus,Rabbit,Left,Yes,Ambivert
27,White,Ginger Nut,Left,No,Virgo,Fish,Center,Yes,Introvert
78,White,Digestive,Right,No,Capricorn,Bird,Right,No,Introvert
70,Brown,Hobnob,Left,Yes,Virgo,Fish,Center-Right,No,Introvert
51,Purple,Shortbread,Left,No,Cancer,Fish,Center,No,Introvert
70,Purple,Custard Cream,Right,No,Scorpio,Bird,Left,No,Ambivert
73,Brown,Ginger Nut,Left,Yes,Virgo,Fish,Right,Yes,Introvert
74,White,Digestive,Left,Yes,Aquarius,Cat,Center-Left,No,Introvert
54,Red,Rich Tea,Left,No,Gemini,Rabbit,Center-Right,Yes,Introvert
42,Orange,Ginger Nut,Left,Yes,Scorpio,Rabbit,Center,No,Extrovert
54,Black,Hobnob,Right,No,Leo,Bird,Left,No,Introvert
43,Red,Rich Tea,Left,No,Sagittarius,Rabbit,Center-Right,No,Introvert
53,Purple,Custard Cream,Right,Yes,Gemini,Dog,Right,Yes,Extrovert
39,Green,Custard Cream,Left,No,Pisces,Cat,Center,Yes,Introvert
56,Purple,Ginger Nut,Left,Yes,Gemini,Rabbit,Center-Left,Yes,Extrovert
31,White,Rich Tea,Right,No,Libra,Bird,Center-Left,Yes,Introvert
57,Yellow,Custard Cream,Right,No,Scorpio,Cat,Center-Right,Yes,Ambivert
54,Green,Bourbon,Left,No,Scorpio,Fish,Center-Left,Yes,Introvert
66,Pink,Bourbon,Left,No,Libra,Bird,Center-Left,No,Ambivert
45,Pink,Jammie Dodger,Right,Yes,Scorpio,Bird,Center,Yes,Extrovert
78,Orange,Digestive,Right,No,Cancer,Dog,Center-Right,No,Introvert
20,Green,Garibaldi,Left,No,Scorpio,Bird,Center-Left,No,Introvert
33,White,Jammie Dodger,Left,No,Virgo,Rabbit,Center-Right,Yes,Extrovert
60,Purple,Jammie Dodger,Right,No,Capricorn,Fish,Center,Yes,Ambivert
79,Pink,Nice,Right,Yes,Taurus,Bird,Center,Yes,Extrovert
49,Yellow,Hobnob,Right,No,Sagittarius,Rabbit,Right,Yes,Ambivert
51,Blue,Shortbread,Right,No,Sagittarius,Fish,Left,No,Introvert
67,Red,Hobnob,Left,Yes,Scorpio,Cat,Left,Yes,Extrovert
44,Blue,Jammie Dodger,Right,No,Libra,Bird,Center-Right,Yes,Ambivert
28,Green,Bourbon,Left,Yes,Gemini,Fish,Center-Left,No,Introvert
53,Green,Ginger Nut,Left,Yes,Scorpio,Rabbit,Center,No,Ambivert
77,Yellow,Digestive,Left,No,Aquarius,Cat,Right,No,Introvert
23,Purple,Garibaldi,Left,Yes,Taurus,Bird,Center-Right,No,Extrovert
73,Orange,Ginger Nut,Right,Yes,Scorpio,Dog,Center-Right,No,Extrovert
50,Brown,Bourbon,Left,Yes,Taurus,Rabbit,Center-Left,No,Introvert
23,Brown,Nice,Right,Yes,Virgo,Cat,Center-Left,No,Introvert
53,Red,Rich Tea,Left,No,Pisces,Rabbit,Center,Yes,Introvert
65,Brown,Shortbread,Left,No,Scorpio,Rabbit,Center-Left,No,Introvert
50,Orange,Rich Tea,Right,No,Scorpio,Rabbit,Center-Right,Yes,Introvert
36,White,Custard Cream,Right,Yes,Aquarius,Fish,Center-Left,Yes,Ambivert
30,Red,Rich Tea,Right,Yes,Libra,Fish,Center,Yes,Introvert
45,Red,Ginger Nut,Right,No,Virgo,Cat,Center,No,Introvert
23,Black,Ginger Nut,Right,No,Sagittarius,Fish,Left,No,Introvert
34,White,Jammie Dodger,Right,No,Aquarius,Dog,Center-Right,No,Ambivert
26,Black,Jammie Dodger,Left,No,Cancer,Fish,Center-Left,Yes,Introvert
57,Brown,Digestive,Left,Yes,Pisces,Fish,Left,Yes,Introvert
50,Brown,Digestive,Right,No,Libra,Fish,Center-Right,Yes,Introvert
53,Purple,Jammie Dodger,Right,Yes,Gemini,Cat,Right,No,Extrovert
56,Orange,Bourbon,Left,Yes,Libra,Dog,Center-Left,Yes,Extrovert
76,Brown,Bourbon,Left,No,Taurus,Rabbit,Center,No,Introvert
41,Black,Hobnob,Left,Yes,Taurus,Dog,Right,Yes,Introvert
55,Yellow,Hobnob,Right,No,Aquarius,Cat,Left,Yes,Ambivert
29,Black,Rich Tea,Right,No,Aries,Fish,Right,No,Introvert
42,White,Jammie Dodger,Left,No,Virgo,Cat,Right,Yes,Ambivert
74,Black,Jammie Dodger,Right,Yes,Libra,Cat,Center-Right,Yes,Ambivert
37,Orange,Bourbon,Left,No,Aries,Rabbit,Center-Left,Yes,Ambivert
55,Yellow,Custard Cream,Left,No,Libra,Cat,Center-Right,No,Ambivert
55,Yellow,Ginger Nut,Right,No,Libra,Bird,Center-Right,No,Ambivert
78,Black,Hobnob,Left,No,Pisces,Bird,Center-Left,No,Introvert
72,Brown,Rich Tea,Right,No,Gemini,Fish,Left,Yes,Introvert
44,Blue,Hobnob,Left,No,Cancer,Dog,Center,No,Introvert
71,Green,Nice,Left,Yes,Cancer,Cat,Center-Right,Yes,Introvert
66,White,Custard Cream,Left,Yes,Libra,Fish,Left,Yes,Ambivert
49,Black,Rich Tea,Right,Yes,Leo,Fish,Right,No,Introvert
37,Pink,Nice,Left,No,Pisces,Cat,Center-Left,No,Introvert
41,Green,Garibaldi,Right,No,Taurus,Fish,Center-Left,No,Introvert
63,Yellow,Ginger Nut,Left,No,Leo,Bird,Center,Yes,Ambivert
39,Black,Digestive,Right,Yes,Virgo,Dog,Center-Left,No,Introvert
79,Orange,Shortbread,Right,Yes,Leo,Dog,Right,Yes,Extrovert
74,Green,Shortbread,Right,Yes,Gemini,Cat,Center-Left,No,Ambivert
35,Yellow,Ginger Nut,Left,No,Taurus,Bird,Left,Yes,Ambivert
37,Purple,Rich Tea,Right,Yes,Aries,Rabbit,Left,No,Introvert
61,Blue,Nice,Right,Yes,Aries,Cat,Center,Yes,Introvert
26,Black,Custard Cream,Right,No,Leo,Dog,Left,Yes,Introvert
37,Purple,Bourbon,Left,Yes,Libra,Dog,Center,Yes,Extrovert
63,White,Ginger Nut,Left,Yes,Pisces,Bird,Left,No,Ambivert
61,Brown,Ginger Nut,Right,No,Aries,Fish,Left,Yes,Introvert
57,Yellow,Garibaldi,Left,No,Scorpio,Fish,Left,Yes,Ambivert
39,Red,Shortbread,Left,Yes,Scorpio,Cat,Right,No,Ambivert
60,Black,Rich Tea,Right,Yes,Pisces,Rabbit,Center-Left,No,Introvert
58,Pink,Custard Cream,Left,Yes,Aquarius,Dog,Right,No,Extrovert
70,Blue,Nice,Left,No,Aquarius,Rabbit,Center,No,Introvert
56,Pink,Bourbon,Left,No,Leo,Fish,Center-Right,No,Introvert
38,Blue,Custard Cream,Left,Yes,Libra,Cat,Center-Left,Yes,Ambivert
79,Brown,Digestive,Left,No,Leo,Dog,Right,Yes,Introvert
38,Pink,Ginger Nut,Left,Yes,Capricorn,Dog,Right,Yes,Extrovert
44,Red,Shortbread,Right,Yes,Libra,Rabbit,Center-Right,No,Ambivert
56,Blue,Ginger Nut,Right,Yes,Virgo,Bird,Right,Yes,Ambivert
66,Purple,Shortbread,Left,Yes,Gemini,Cat,Center-Right,No,Ambivert
24,Yellow,Rich Tea,Right,Yes,Gemini,Fish,Center-Left,Yes,Introvert
36,Black,Ginger Nut,Left,No,Aries,Dog,Left,Yes,Introvert
47,White,Rich Tea,Left,Yes,Scorpio,Dog,Center-Left,Yes,Introvert
29,Purple,Hobnob,Left,Yes,Sagittarius,Bird,Right,Yes,Extrovert
40,Blue,Garibaldi,Right,Yes,Libra,Rabbit,Center,No,Ambivert
80,Pink,Garibaldi,Left,Yes,Aries,Dog,Center-Right,No,Extrovert
69,Green,Digestive,Left,Yes,Taurus,Bird,Right,Yes,Ambivert
19,Orange,Jammie Dodger,Right,No,Pisces,Dog,Center-Right,Yes,Extrovert
42,Black,Ginger Nut,Left,No,Virgo,Cat,Left,Yes,Introvert
77,Yellow,Hobnob,Left,Yes,Capricorn,Cat,Center-Right,Yes,Extrovert
76,Yellow,Digestive,Left,Yes,Gemini,Bird,Center,No,Extrovert
23,Red,Digestive,Left,Yes,Taurus,Fish,Center-Left,Yes,Introvert
56,Orange,Rich Tea,Left,Yes,Aquarius,Fish,Center-Left,No,Introvert
62,Purple,Jammie Dodger,Right,No,Leo,Rabbit,Left,No,Ambivert
46,Green,Ginger Nut,Right,Yes,Cancer,Bird,Center,No,Ambivert
77,Blue,Digestive,Left,No,Taurus,Fish,Center-Right,No,Introvert
58,Red,Custard Cream,Right,Yes,Gemini,Bird,Center-Left,No,Extrovert
65,Blue,Shortbread,Right,No,Leo,Bird,Center-Right,Yes,Introvert
65,Orange,Shortbread,Right,No,Gemini,Fish,Center-Left,No,Introvert
43,Red,Ginger Nut,Right,Yes,Pisces,Dog,Left,No,Extrovert
67,Orange,Nice,Right,Yes,Taurus,Fish,Center-Left,No,Introvert
78,Brown,Garibaldi,Left,Yes,Capricorn,Fish,Right,No,Introvert
